dataset_dir,base,tile_id,method,family,source_kind,trajectory_theta_deg,mask_separation,corr_with_rec,unified_score
generated_from_source_picture1,Picture1,1,FFT Pipeline,FFT,file,52.85047322,0.27581870,0.46266491,0.33187257
generated_from_source_picture1,Picture1,1,Chirplet Transform,FFT-like/Wavelet,dynamic,52.85047322,0.02052227,0.92486772,0.29182591
generated_from_source_picture1,Picture1,1,Gabor Transform,FFT-like/Wavelet,dynamic,52.85047322,0.01934508,0.87400048,0.27574170
generated_from_source_picture1,Picture1,1,Morlet Wavelet,FFT-like/Wavelet,dynamic,52.85047322,0.01934508,0.87400048,0.27574170
generated_from_source_picture1,Picture1,1,CNN-style ConvBank + SVD Rank-40,SVD,file,52.85047322,0.02207366,0.77394728,0.24763575
generated_from_source_picture1,Picture1,1,SVD Energy-99%,SVD,file,52.85047322,0.00785141,0.93913514,0.28723653
generated_from_source_picture1,Picture1,1,SVD Rank-20,SVD,file,52.85047322,0.00956231,0.92297605,0.28358644
generated_from_source_picture1,Picture1,2,FFT Pipeline,FFT,file,58.77022402,0.29519709,0.53433405,0.36693818
generated_from_source_picture1,Picture1,2,Chirplet Transform,FFT-like/Wavelet,dynamic,58.77022402,0.08291506,0.92420303,0.33530145
generated_from_source_picture1,Picture1,2,Gabor Transform,FFT-like/Wavelet,dynamic,58.77022402,0.12356862,0.87143097,0.34792732
generated_from_source_picture1,Picture1,2,Morlet Wavelet,FFT-like/Wavelet,dynamic,58.77022402,0.12356862,0.87143097,0.34792732
generated_from_source_picture1,Picture1,2,CNN-style ConvBank + SVD Rank-40,SVD,file,58.77022402,0.09912546,0.77292534,0.30126542
generated_from_source_picture1,Picture1,2,SVD Energy-99%,SVD,file,58.77022402,0.05940757,0.93306548,0.32150494
generated_from_source_picture1,Picture1,2,SVD Rank-20,SVD,file,58.77022402,0.05968500,0.91858313,0.31735444
generated_from_source_picture1,Picture1,3,FFT Pipeline,FFT,file,64.03966896,0.30181384,0.47155981,0.35273763
generated_from_source_picture1,Picture1,3,Chirplet Transform,FFT-like/Wavelet,dynamic,64.03966896,0.06529579,0.92878244,0.32434178
generated_from_source_picture1,Picture1,3,Gabor Transform,FFT-like/Wavelet,dynamic,64.03966896,0.10299495,0.87788269,0.33546127
generated_from_source_picture1,Picture1,3,Morlet Wavelet,FFT-like/Wavelet,dynamic,64.03966896,0.10299495,0.87788269,0.33546127
generated_from_source_picture1,Picture1,3,CNN-style ConvBank + SVD Rank-40,SVD,file,64.03966896,0.07677595,0.77563589,0.28643393
generated_from_source_picture1,Picture1,3,SVD Energy-99%,SVD,file,64.03966896,0.04412938,0.93237280,0.31060241
